train_loss,epoch,step
2.2968173027038574,0,6
0.27625250816345215,1,13
0.0975549966096878,2,20
0.17034968733787537,3,27
0.050872694700956345,4,34
0.016654791310429573,5,41
0.018491368740797043,6,48
0.004589655436575413,7,55
0.0025041804183274508,8,62
0.001532135996967554,9,69
0.0004978313809260726,10,76
0.0004718569398391992,11,83
0.0002239350724266842,12,90
0.00020552285423036665,13,97
0.0001403309142915532,14,104
0.00011829889990622178,15,111
0.0001094309554900974,16,118
0.00010615962673909962,17,125
0.0001061987059074454,18,132
0.00010444944928167388,19,139
0.00010297088738298044,20,146
0.00010318837303202599,21,153
0.00010220181866316125,22,160
0.00010348441719543189,23,167
0.00010330343502573669,24,174
0.00010420135367894545,25,181
0.00010498792835278437,26,188
0.00010343940812163055,27,195
0.0001039570415741764,28,202
0.00010357056453358382,29,209
0.00010630006727296859,30,216
0.00010321012086933479,31,223
0.00010479258344275877,32,230
0.00010535956243984401,33,237
0.00010388679947936907,34,244
0.00010486552491784096,35,251
0.00010395615390734747,36,258
0.00010465448576724157,37,265
0.00010244232544209808,38,272
0.00010303534509148449,39,279
0.00010487021063454449,40,286
0.00010277896944899112,41,293
0.00010402854240965098,42,300
0.00010520239447942004,43,307
0.000105205865111202,44,314
0.00010298514825990424,45,321
0.00010314581595594063,46,328
0.00010283254232490435,47,335
0.00010640951950335875,48,342
0.00010530269355513155,49,349
0.00010303435556124896,50,356
0.00010397914593340829,51,363
0.00010644066787790507,52,370
0.00010246937745250762,53,377
0.0001043134179781191,54,384
0.0001041154027916491,55,391
0.00010336420382373035,56,398
0.00010307012416888028,57,405
0.0001059315909515135,58,412
0.00010369968367740512,59,419
0.0001052671650541015,60,426
0.00010650230251485482,61,433
0.00010341742017772049,62,440
0.00010490432032383978,63,447
0.0001037860638462007,64,454
0.00010567729623289779,65,461
0.00010411320545244962,66,468
0.00010383538756286725,67,475
0.0001052912775776349,68,482
0.00010993657633662224,69,489
0.00010583370749372989,70,496
0.00011145568714709952,71,503
0.00010271657083649188,72,510
0.00010943922825390473,73,517
0.00010593269689707085,74,524
0.0001071520964615047,75,531
0.00010751202353276312,76,538
0.00010612943151500076,77,545
0.00010511954315006733,78,552
0.00010572792234597728,79,559
0.00010275957174599171,80,566
0.00010381780884927139,81,573
0.00010637377999955788,82,580
0.0001084290342987515,83,587
0.00010428475070511922,84,594
0.00010469739208929241,85,601
0.00010494594607735053,86,608
0.00010586885764496401,87,615
0.00011223840556340292,88,622
0.00010309840581612661,89,629
0.00010971680603688583,90,636
0.00010366697097197175,91,643
0.00010343398753320798,92,650
0.00010746203042799607,93,657
0.0001026681566145271,94,664
0.00010861046030186117,95,671
0.00011504822759889066,96,678
0.00010589750309009105,97,685
0.00010547783313086256,98,692
0.00010741632286226377,99,699
