train_loss,epoch,step
1.1237965822219849,0,6
0.1076546385884285,1,13
0.1077379509806633,2,20
0.09762109816074371,3,27
0.011333784088492393,4,34
0.015448646619915962,5,41
0.00891572143882513,6,48
0.0013880736660212278,7,55
0.0021021405700594187,8,62
0.0006390042835846543,9,69
0.00041383507777936757,10,76
0.00024027471954468638,11,83
0.0001520387304481119,12,90
0.00011424202239140868,13,97
0.00010897345055127516,14,104
9.161151683656499e-05,15,111
8.567734039388597e-05,16,118
8.487850573146716e-05,17,125
8.54095269460231e-05,18,132
8.440743113169447e-05,19,139
8.470455941278487e-05,20,146
8.747500396566465e-05,21,153
8.36293984320946e-05,22,160
8.499698742525652e-05,23,167
8.954592340160161e-05,24,174
8.735010487725958e-05,25,181
8.56767946970649e-05,26,188
8.968405745690688e-05,27,195
8.391249139094725e-05,28,202
8.576612162869424e-05,29,209
9.303320985054597e-05,30,216
9.056167618837208e-05,31,223
9.176001913147047e-05,32,230
9.136069274973124e-05,33,237
9.535752178635448e-05,34,244
8.790556603344157e-05,35,251
8.656244608573616e-05,36,258
8.735284791328013e-05,37,265
8.407538553001359e-05,38,272
8.630701631773263e-05,39,279
8.788156992523e-05,40,286
8.476059883832932e-05,41,293
8.708162204129621e-05,42,300
8.926072041504085e-05,43,307
8.982694998849183e-05,44,314
8.807026460999623e-05,45,321
8.813024760456756e-05,46,328
8.550004713470116e-05,47,335
8.718619938008487e-05,48,342
8.576949767302722e-05,49,349
9.227305417880416e-05,50,356
8.740689372643828e-05,51,363
9.182721260003746e-05,52,370
8.543555304640904e-05,53,377
8.778737537795678e-05,54,384
8.569144847569987e-05,55,391
8.97059217095375e-05,56,398
8.728451939532533e-05,57,405
9.08116708160378e-05,58,412
8.973976946435869e-05,59,419
8.498188253724948e-05,60,426
8.7613174400758e-05,61,433
8.578310371376574e-05,62,440
9.015438263304532e-05,63,447
9.199856140185148e-05,64,454
8.727762178750709e-05,65,461
8.846972195897251e-05,66,468
8.93846809049137e-05,67,475
8.734126458875835e-05,68,482
8.454946510028094e-05,69,489
8.684151544002816e-05,70,496
9.324876737082377e-05,71,503
8.907518349587917e-05,72,510
8.673080446897075e-05,73,517
8.951355994213372e-05,74,524
9.23023180803284e-05,75,531
9.436169057153165e-05,76,538
9.846403554547578e-05,77,545
0.0001120467422879301,78,552
9.984990902012214e-05,79,559
0.00010224910511169583,80,566
0.0001008540129987523,81,573
8.599372813478112e-05,82,580
9.235419565811753e-05,83,587
8.869182056514546e-05,84,594
9.426595352124423e-05,85,601
9.109573147725314e-05,86,608
9.541743202134967e-05,87,615
9.458256681682542e-05,88,622
8.83206375874579e-05,89,629
0.00010517819464439526,90,636
8.700295438757166e-05,91,643
8.663993503432721e-05,92,650
8.643814362585545e-05,93,657
0.00011166087642777711,94,664
8.923293353291228e-05,95,671
8.397030615014955e-05,96,678
8.910246106097475e-05,97,685
8.575506217312068e-05,98,692
9.353075438411906e-05,99,699
