Experiment Results:
kernel_size | input_size | dropout | num_experts | expert_units | gate_units | tower_units | batch_norm | lr | weight_decay | net_dropout | Best Train Loss
------------------------------------------------------------------------------------------------------------------------
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.001    | 1e-05        | 0.1        | 0.86188
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.001    | 1e-05        | 0.2        | 1.316658
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.001    | 1e-05        | 0.3        | 2.192976
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.001    | 0.0001       | 0.1        | 0.895223
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.001    | 0.0001       | 0.2        | 1.53918
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.001    | 0.0001       | 0.3        | 2.217477
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.0005   | 1e-05        | 0.1        | 0.929659
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.0005   | 1e-05        | 0.2        | 1.619265
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.0005   | 1e-05        | 0.3        | 2.188143
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.0005   | 0.0001       | 0.1        | 0.879041
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.0005   | 0.0001       | 0.2        | 1.655529
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.0005   | 0.0001       | 0.3        | 2.084857
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.0001   | 1e-05        | 0.1        | 0.882083
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.0001   | 1e-05        | 0.2        | 1.371763
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.0001   | 1e-05        | 0.3        | 2.135706
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.0001   | 0.0001       | 0.1        | 0.832477
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.0001   | 0.0001       | 0.2        | 1.577149
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.0001   | 0.0001       | 0.3        | 2.314516
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.002    | 1e-05        | 0.1        | 0.834913
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.002    | 1e-05        | 0.2        | 1.563122
3            | 128        | 0.1      | 3           | [128, 64]      | [64]         | [64]           | 1          | 0.002    | 1e-05        | 0.3        | 2.223382
